Nr identyfikacyjny księgarni zatrudnienia,PESEL,Imię,Nazwisko,Data urodzenia,Wykształcenie,Stanowisko,Data przyjęcia,Data zwolnienia
89,68090466597,Salina,Meyer,9/4/1968,inżynier,dyrektor,3/13/1994,
89,77101768076,Karrie,Koepp,10/17/1977,licencjat,sprzedawca,3/11/2009,
89,66042727091,Shavon,Stanley,4/27/1966,technik,sprzedawca,2/16/1997,
89,83053055393,Lorna,Jast,5/30/1983,doktor,sprzedawca,11/28/2005,
89,66101602772,Lucrecia,Martin,10/16/1966,licencjat,sprzedawca,1/28/1989,
90,64011846134,Kymberly,Stark,1/18/1964,profesor,sprzedawca,6/16/1987,
90,76122342414,Corrina,Bradley,12/23/1976,inżynier,sprzedawca,6/15/2002,1/2/2014
90,72091729052,Ivan,Crona,9/17/1972,profesor,sprzedawca,1/7/2012,
90,80070174375,Carl,Windler,7/1/1980,podstawowe,dyrektor,9/12/2002,
90,86062168092,Sherron,Lindgren,6/21/1986,średnie,sprzedawca,5/10/2011,
90,73112778958,Ammie,Ratke,11/27/1973,profesor,sprzedawca,6/5/2001,
91,72091402270,Karoline,Hawkins,9/14/1972,podstawowe,sprzedawca,7/17/1992,
91,85030368753,Juliana,Gusikowski,3/3/1985,licencjat,sprzedawca,12/16/2009,7/16/2014
91,70052207913,Britteny,Hirthe,5/22/1970,inżynier,sprzedawca,5/25/2001,
91,77121463997,Theresa,Gordon,12/14/1977,podstawowe,sprzedawca,5/5/1998,4/26/2014
91,70070147431,Rochell,Hartmann,7/1/1970,profesor,sprzedawca,10/6/2003,
91,70052501352,Meryl,Jackson,5/25/1970,doktor,sprzedawca,1/3/2012,
91,76060444737,Virginia,Daugherty,6/4/1976,inżynier,dyrektor,7/13/2010,
92,87061413756,Roseanne,Kshlerin,6/14/1987,inżynier,sprzedawca,5/19/2011,
92,62071181592,Pat,VonRueden,7/11/1962,inżynier,sprzedawca,3/27/1986,
92,83120530475,Shelley,Kuphal,12/5/1983,profesor,sprzedawca,2/21/2004,9/1/2011
92,64102414914,Shawana,Gerhold,10/24/1964,magister,sprzedawca,4/2/1985,
92,81111052212,Chara,Hegmann,11/10/1981,podstawowe,dyrektor,12/4/2007,
92,86020186971,Luana,Prosacco,2/1/1986,średnie,sprzedawca,4/4/2011,
93,88031341651,Pei,Ritchie,3/13/1988,średnie,sprzedawca,11/22/2008,
93,85110477418,Mariella,Doyle,11/4/1985,magister,sprzedawca,10/14/2006,
93,89092009719,Carlota,Foster,9/20/1989,profesor,dyrektor,7/29/2011,
93,67121224894,Lucy,Langworth,12/12/1967,technik,sprzedawca,12/17/2004,
93,84030500716,Elodia,Effertz,3/5/1984,inżynier,sprzedawca,10/16/2009,
94,68060445450,Dillon,Wagner,6/4/1968,profesor,sprzedawca,12/20/1997,
94,63121412413,Perla,Jerde,12/14/1963,licencjat,sprzedawca,1/12/2000,6/6/2005
94,87032764711,Sharie,Considine,3/27/1987,technik,sprzedawca,9/1/2005,3/31/2010
94,83062565157,Mariana,Keeling,6/25/1983,inżynier,sprzedawca,7/25/2006,6/6/2011
94,75090617038,Stephania,Gerlach,9/6/1975,doktor,dyrektor,10/19/1999,
94,68021290772,Shanae,Boyer,2/12/1968,profesor,sprzedawca,7/2/1994,
94,72071800519,Cyrstal,Rutherford,7/18/1972,magister,sprzedawca,3/21/1999,
94,85012526773,Maire,Lewis,1/25/1985,podstawowe,sprzedawca,12/3/2005,
95,79091497011,Sharice,Hall,9/14/1979,doktor,dyrektor,8/16/2000,
95,86111806595,Tracee,Lang,11/18/1986,średnie,sprzedawca,8/8/2004,11/7/2014
95,74100687555,Suellen,Larkin,10/6/1974,inżynier,sprzedawca,11/15/1994,
95,84041425239,Arie,Stewart,4/14/1984,średnie,sprzedawca,1/1/2006,12/31/2009
95,90100494858,Maricela,Reinger,10/4/1990,technik,sprzedawca,4/5/2010,
95,72022747034,Tiara,Tucker,2/27/1972,technik,sprzedawca,4/7/1991,
95,76030136695,Mozelle,Alvarez,3/1/1976,średnie,sprzedawca,7/30/2003,
96,75111004218,Gilbert,Chapman,11/10/1975,profesor,sprzedawca,8/6/2009,
96,82112527530,Margaretta,Daugherty,11/25/1982,podstawowe,sprzedawca,1/22/2011,
96,61051233597,Adah,Hudson,5/12/1961,podstawowe,sprzedawca,1/19/2001,
96,82102558218,Hyman,Parisian,10/25/1982,doktor,sprzedawca,5/1/2008,
96,74102295235,Jamee,Greenfelder,10/22/1974,inżynier,dyrektor,7/17/2003,
97,64011294098,Ernesto,Weber,1/12/1964,inżynier,sprzedawca,11/14/1985,3/3/2003
97,80020260219,Lean,Myers,2/2/1980,licencjat,sprzedawca,9/6/2006,
97,64071071114,Rosetta,Dean,7/10/1964,technik,sprzedawca,1/16/2006,
97,70062964734,Damian,Schroeder,6/29/1970,licencjat,dyrektor,4/4/2004,
97,77103024093,Denyse,Henry,10/30/1977,inżynier,sprzedawca,2/11/2005,
97,84112560553,Barney,Fahey,11/25/1984,technik,sprzedawca,6/13/2008,3/5/2014
97,85051926455,Winford,Moreno,5/19/1985,licencjat,sprzedawca,12/1/2010,7/17/2013
97,87041523518,Samatha,Purdy,4/15/1987,inżynier,sprzedawca,10/6/2008,
98,61040962914,Harley,McLaughlin,4/9/1961,technik,sprzedawca,12/16/2001,
98,63082689592,Cindy,DuBuque,8/26/1963,licencjat,sprzedawca,11/25/1990,
98,90041219718,Nita,Gordon,4/12/1990,licencjat,sprzedawca,3/6/2008,
98,62041359493,Rhea,Wolff,4/13/1962,magister,sprzedawca,5/4/2012,
98,71111544934,Abraham,Hunter,11/15/1971,licencjat,sprzedawca,3/17/2009,11/14/2014
98,79081497850,Natisha,Kassulke,8/14/1979,technik,dyrektor,2/18/2006,
99,62083039559,Jordan,Boyer,8/30/1962,licencjat,sprzedawca,2/28/1998,
99,89112203538,Sharleen,Sullivan,11/22/1989,technik,sprzedawca,3/28/2009,
99,83071415775,Annemarie,Friesen,7/14/1983,podstawowe,sprzedawca,6/16/2002,3/19/2010
99,72041317474,Delana,Robel,4/13/1972,doktor,sprzedawca,1/11/2005,9/23/2007
99,75060809250,Fredda,Kihn,6/8/1975,technik,sprzedawca,7/15/2008,
99,67100870896,Belva,Holmes,10/8/1967,podstawowe,sprzedawca,5/30/2006,3/15/2009
99,73030451993,Jamika,Arnold,3/4/1973,magister,sprzedawca,11/12/2003,5/1/2009
99,66071404651,Sally,Schuster,7/14/1966,średnie,sprzedawca,3/2/2010,
99,79050845835,Wally,Morissette,5/8/1979,inżynier,dyrektor,4/19/2012,
100,81121583218,Faustina,Wilson,12/15/1981,doktor,sprzedawca,11/19/2000,
100,82062050539,Perla,Fritsch,6/20/1982,magister,dyrektor,7/25/2009,
100,67022484472,Melonie,Sauer,2/24/1967,podstawowe,sprzedawca,10/3/2002,3/1/2007
100,87061928278,Carolyn,Morales,6/19/1987,technik,sprzedawca,3/12/2006,
100,82072905373,Ai,Bartell,7/29/1982,doktor,sprzedawca,10/25/2006,
100,63070990451,Michele,Streich,7/9/1963,magister,sprzedawca,2/12/2004,2/2/2012
100,62042460936,Stuart,Crawford,4/24/1962,magister,sprzedawca,5/19/1998,5/27/2000
100,75082706656,Scottie,Kulas,8/27/1975,magister,sprzedawca,10/3/2006,
